,Area,Mean,Min ,Max,X,Y
1,0,213,213,213,9.358,16.296
2,0,126,126,126,9.338,16.055
3,0,165,165,165,7.45,15.051
4,0,108,108,108,7.189,14.971
5,0,229,229,229,9.499,13.585
6,0,108,108,108,9.338,13.344
7,0,224,224,224,13.455,12.38
8,0,114,114,114,13.696,12.26
9,0,233,233,233,16.849,12.903
10,0,191,191,191,16.909,12.762
11,0,225,225,225,18.495,11.898
12,0,134,134,134,18.395,12.039
13,0,222,222,222,18.335,5.512
14,0,86,86,86,18.475,5.653
15,0,201,201,201,18.596,5.231
16,0,163,163,163,18.636,5.472
17,0,205,205,205,14.338,4.368
18,0,122,122,122,14.499,4.549
19,0,215,215,215,10.051,4.257
20,0,181,181,181,9.8,4.237
21,0,227,227,227,8.073,4.217
22,0,64,64,64,8.384,4.217
23,0,202,202,202,9.529,7.32
24,0,51,51,51,9.649,7.109
25,0,216,216,216,11.487,10.051
26,0,179,179,179,11.617,9.92
27,0,226,226,226,12.732,7.25
28,0,185,185,185,12.672,7.46
29,0,243,243,243,12.4,5.573
30,0,174,174,174,12.149,5.553
31,0,200,200,200,6.537,6.055
32,0,132,132,132,6.627,6.255
33,0,186,186,186,4.428,7.26
34,0,130,130,130,4.428,7.019
35,0,216,216,216,15.152,1.943
36,0,54,54,54,15.076,1.777
37,0,236,236,236,10.764,10.764
38,0,49,49,49,10.453,10.874
39,0,172,172,172,3.575,7.932
40,0,196,196,196,3.474,8.113
1,0,232,232,232,9.649,15.071
2,0,145,145,145,9.86,15.212
3,0,195,195,195,10.031,15.704
4,0,207,207,207,10.232,15.694
5,0,208,208,208,11.667,16.075
6,0,115,115,115,11.477,16.236
7,0,201,201,201,12.722,16.397
8,0,88,88,88,12.882,16.246
9,0,203,203,203,13.756,16.276
10,0,150,150,150,13.866,16.166
11,0,191,191,191,13.595,14.75
12,0,156,156,156,13.595,14.579
13,0,212,212,212,9.187,15.714
14,0,127,127,127,9.418,15.855
15,0,221,221,221,8.635,14.047
16,0,132,132,132,8.705,13.917
17,0,230,230,230,7.29,12.621
18,0,97,97,97,7.3,12.441
19,0,191,191,191,15.583,15.694
20,0,87,87,87,15.724,15.573
21,0,188,188,188,17.22,14.268
22,0,100,100,100,17.341,14.097
23,0,210,210,210,18.124,13.003
24,0,156,156,156,18.284,12.882
25,0,225,225,225,15.824,5.623
26,0,162,162,162,15.754,5.452
27,0,237,237,237,16.557,6.506
28,0,206,206,206,16.598,6.286
29,0,238,238,238,12.471,7.31
30,0,125,125,125,12.672,7.4
31,0,228,228,228,12.34,7.601
32,0,181,181,181,12.461,7.42
33,0,214,214,214,12.17,1.16
34,0,62,62,62,11.944,1.235
35,0,208,208,208,10.422,1.28
36,0,57,57,57,10.196,1.34
37,0,238,238,238,10.136,5.226
38,0,164,164,164,10.377,5.226
39,0,218,218,218,15.091,3.253
40,0,77,77,77,14.926,3.178
1,0,165,165,165,11.07,16.281
2,0,103,103,103,11.341,16.221
3,0,196,196,196,9.218,16.01
4,0,97,97,97,9.398,16.01
5,0,203,203,203,7.591,15.664
6,0,121,121,121,7.41,15.573
7,0,150,150,150,6.311,14.097
8,0,131,131,131,6.431,14.233
9,0,230,230,230,8.419,12.516
10,0,75,75,75,8.299,12.742
11,0,201,201,201,4.714,12.139
12,0,94,94,94,4.91,12.275
13,0,231,231,231,13.329,10.287
14,0,85,85,85,13.164,10.437
15,0,218,218,218,16.236,5.136
16,0,150,150,150,16.146,4.925
17,0,237,237,237,14.971,8.163
18,0,129,129,129,14.941,7.967
19,0,232,232,232,15.995,9.579
20,0,75,75,75,15.92,9.82
21,0,234,234,234,17.712,7.214
