Treatment,Exp,Dot,  Distance,SpeedBefore,SpeedAfter, TurnAngle,EscapeAngle
control,2,1,1.828385,0.721954,0.408272,-4.969741,70.477265
control,2,2,1.788839,1.211659,0.64278,-0.469674,89.332868
control,2,3,1.402308,0.431183,14.222658,-92.147582,-37.29036
control,2,4,1.056003,0.642776,1.20103,23.385221,175.135503
control,2,5,1.316672,0.42934,12.282146,-35.440931,53.503749
control,2,6,1.445692,0.484962,11.576797,-138.826423,-38.684564
control,2,7,1.599313,1.364702,3.317786,-15.035455,-115.280956
control,2,8,1.565884,1.497925,0.755366,-6.80426,-106.810119
control,2,9,1.39858,1.025379,12.942505,108.103754,23.363052
control,2,10,1.050716,0.079726,5.838438,115.159304,-81.345042
control,4,1,1.929163,0.832369,1.418826,-0.309587,-64.148005
control,4,2,1.448938,0.752142,0.179039,5.440159,-61.073617
control,4,3,0.457359,0.582909,0.356553,47.489246,-14.796972
control,4,4,1.164023,0.858681,0.288692,34.508523,-40.131657
control,4,5,1.510332,0.725053,0.328721,7.696052,-50.348271
control,4,6,1.512059,0.68878,0.287458,-20.772462,-65.539807
control,4,7,1.862335,0.645534,0.398632,-7.125016,-84.712031
control,6,1,1.385076,1.072613,11.850335,-123.475367,-18.743653
control,6,2,1.407262,1.49581,1.063684,-2.52945,51.535807
control,6,3,1.705471,1.240256,0.752138,12.994477,77.81709
control,6,4,2.825941,0.625356,0.862374,6.115504,91.363926
control,6,5,1.847041,0.973189,0.330132,-20.955632,59.854698
control,6,6,2.563693,1.053143,1.43729,-5.566297,71.842974
control,6,7,1.629067,1.177148,0.752138,-3.704627,81.623999
control,6,8,1.663318,0.625359,0.504239,21.371078,94.679386
control,6,9,1.583016,0.974077,0.484957,0,72.40755
control,8,1,1.284965,0.51269,7.609192,16.151459,170.63228
control,8,2,1.073815,1.57043,6.552442,165.412018,59.438848
control,8,3,1.270804,1.084401,8.044026,-121.747735,-18.011345
